"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"End-to-End Semantic Segmentation and Boundary Regularization of Buildings from Satellite Imagery","Q. Li; S. Zorzi; Y. Shi; F. Fraundorfer; X. X. Zhu","Data Science in Earth Observation, Technical University of Munich (TUM), Munich, Germany; Institute of Computer Graphics and Vision, Graz University of Technology (TU Graz), Graz, Austria; Remote Sensing Technology, Technical University of Munich (TUM), Munich, Germany; Institute of Computer Graphics and Vision, Graz University of Technology (TU Graz), Graz, Austria; Data Science in Earth Observation, Technical University of Munich (TUM), Munich, Germany",2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,"12 Oct 2021","2021","","","2508","2511","Building footprint generation is a vital task of satellite imagery interpretation. However, the segmentation masks of buildings obtained by existing semantic segmentation networks often have blurred boundaries and irregular shapes. In this research, we propose a new boundary regularization network for building footprint generation in satellite images. More specifically, we consider semantic segmentation and boundary regularization in an end-to-end generative adversarial network (GAN). The learned building footprints are regularized by the interplay between the generator and discriminator. By doing so, the straight boundaries and geometric details of the building could be preserved. Experiments are conducted on a collected dataset of Planetscope satellite imagery (spatial resolution: 4.77 m/pixel). Our approach is much superior to the state-of-the-art methods in both quantitative and qualitative results.","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9555147","European Research Council (ERC)(grant numbers:ERC-2016-StG-714087); Helmholtz Association(grant numbers:VH-NG-1018); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9555147","semantic segmentation;boundary regularization;building;satellite imagery;generative adversarial network","Image segmentation;Visualization;Satellites;Shape;Buildings;Semantics;Generative adversarial networks","","3","","9","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"Semi-Supervised Semantic Segmentation Constrained by Consistency Regularization","X. Li; Q. He; S. Dai; P. Wu; W. Tong","School of Computer Engineering and Science, Shanghai University, China; School of Computer Engineering and Science, Shanghai University, China; School of Computer Engineering and Science, Shanghai University, China; School of Computer Engineering and Science, Shanghai University, China; School of Computer Engineering and Science, Shanghai University, China",2020 IEEE International Conference on Multimedia and Expo (ICME),"9 Jun 2020","2020","","","1","6","In this paper, we propose a self-training based method for semi-supervised semantic segmentation. Our method utilizes k perturbed images of each unlabeled image to generate a new mask through the proposed vote operation which in turn is used as a supervision signal to train the model. The k predicted masks of perturbed images can provide nontrivial knowledge that is not captured by a single prediction and the proposed vote operation enables the model to output a low entropy prediction. Consistency regularization is applied between generated mask and k masks in terms of MSE loss in our network. Extensive experiments are conducted on different datasets to evaluate the effectiveness of our method. We show that the proposed method surpasses previous state-of the-art semi-supervised methods on ISIC 2017 dataset and achieves competitive performance on PASCAL VOC 2012 dataset.","1945-788X","978-1-7281-1331-9","10.1109/ICME46284.2020.9102851","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9102851","Semi-supervised learning;semantic segmentation;consistency regularization","Image segmentation;Semantics;Entropy;Training;Skin;Prediction algorithms;Lesions","","2","","19","IEEE","9 Jun 2020","","","IEEE","IEEE Conferences"
"Semantic Segmentation with Generative Models: Semi-Supervised Learning and Strong Out-of-Domain Generalization","D. Li; J. Yang; K. Kreis; A. Torralba; S. Fidler",NVIDIA; NVIDIA; NVIDIA; MIT; NVIDIA,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"2 Nov 2021","2021","","","8296","8307","Training deep networks with limited labeled data while achieving a strong generalization ability is key in the quest to reduce human annotation efforts. This is the goal of semi-supervised learning, which exploits more widely available unlabeled data to complement small labeled data sets. In this paper, we propose a novel framework for discriminative pixel-level tasks using a generative model of both images and labels. Concretely, we learn a generative adversarial network that captures the joint image-label distribution and is trained efficiently using a large set of un-labeled images supplemented with only few labeled ones. We build our architecture on top of StyleGAN2 [45], augmented with a label synthesis branch. Image labeling at test time is achieved by first embedding the target image into the joint latent space via an encoder network and test-time optimization, and then generating the label from the inferred embedding. We evaluate our approach in two important domains: medical image segmentation and part-based face segmentation. We demonstrate strong in-domain performance compared to several baselines, and are the first to showcase extreme out-of-domain generalization, such as transferring from CT to MRI in medical imaging, and photographs of real faces to paintings, sculptures, and even cartoons and animal faces. Project Page: https://nv-tlabs.github.io/semanticGAN/","2575-7075","978-1-6654-4509-2","10.1109/CVPR46437.2021.00820","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577499","","Training;Image segmentation;Annotations;Animals;Face recognition;Computational modeling;Semantics","","88","","99","IEEE","2 Nov 2021","","","IEEE","IEEE Conferences"
"Consistency-Regularized Region-Growing Network for Semantic Segmentation of Urban Scenes With Point-Level Annotations","Y. Xu; P. Ghamisi","Institute of Advanced Research in Artificial Intelligence (IARAI), Vienna, Austria; Institute of Advanced Research in Artificial Intelligence (IARAI), Vienna, Austria",IEEE Transactions on Image Processing,"2 Aug 2022","2022","31","","5038","5051","Deep learning algorithms have obtained great success in semantic segmentation of very high-resolution (VHR) remote sensing images. Nevertheless, training these models generally requires a large amount of accurate pixel-wise annotations, which is very laborious and time-consuming to collect. To reduce the annotation burden, this paper proposes a consistency-regularized region-growing network (CRGNet) to achieve semantic segmentation of VHR remote sensing images with point-level annotations. The key idea of CRGNet is to iteratively select unlabeled pixels with high confidence to expand the annotated area from the original sparse points. However, since there may exist some errors and noises in the expanded annotations, directly learning from them may mislead the training of the network. To this end, we further propose the consistency regularization strategy, where a base classifier and an expanded classifier are employed. Specifically, the base classifier is supervised by the original sparse annotations, while the expanded classifier aims to learn from the expanded annotations generated by the base classifier with the region-growing mechanism. The consistency regularization is thereby achieved by minimizing the discrepancy between the predictions from both the base and the expanded classifiers. We find such a simple regularization strategy is yet very useful to control the quality of the region-growing mechanism. Extensive experiments on two benchmark datasets demonstrate that the proposed CRGNet significantly outperforms the existing state-of-the-art methods. Codes and pre-trained models are available online (https://github.com/YonghaoXu/CRGNet).","1941-0042","","10.1109/TIP.2022.3189825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9839390","Semantic segmentation;very high-resolution (VHR) images;weakly supervised learning;sparse annotation;convolutional neural network (CNN);remote sensing","Annotations;Image segmentation;Semantics;Training;Remote sensing;Knowledge transfer;Predictive models","Algorithms;Benchmarking;Semantics","26","","54","IEEE","25 Jul 2022","","","IEEE","IEEE Journals"
"Transferring and Regularizing Prediction for Semantic Segmentation","Y. Zhang; Z. Qiu; T. Yao; C. -W. Ngo; D. Liu; T. Mei","University of Science and Technology of China, Hefei, China; University of Science and Technology of China, Hefei, China; JD AI Research, Beijing, China; City University of Hong Kong, Kowloon, Hong Kong; University of Science and Technology of China, Hefei, China; JD AI Research, Beijing, China",2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"5 Aug 2020","2020","","","9618","9627","Semantic segmentation often requires a large set of images with pixel-level annotations. In the view of extremely expensive expert labeling, recent research has shown that the models trained on photo-realistic synthetic data (e.g., computer games) with computer-generated annotations can be adapted to real images. Despite this progress, without constraining the prediction on real images, the models will easily overfit on synthetic data due to severe domain mismatch. In this paper, we novelly exploit the intrinsic properties of semantic segmentation to alleviate such problem for model transfer. Specifically, we present a Regularizer of Prediction Transfer (RPT) that imposes the intrinsic properties as constraints to regularize model transfer in an unsupervised fashion. These constraints include patch-level, cluster-level and context-level semantic prediction consistencies at different levels of image formation. As the transfer is label-free and data-driven, the robustness of prediction is addressed by selectively involving a subset of image regions for model regularization. Extensive experiments are conducted to verify the proposal of RPT on the transfer of models trained on GTA5 and SYNTHIA (synthetic data) to Cityscapes dataset (urban street scenes). RPT shows consistent improvements when injecting the constraints on several neural networks for semantic segmentation. More remarkably, when integrating RPT into the adversarial-based segmentation framework, we report to-date the best results: mIoU of 53.2%/51.7% when transferring from GTA5/SYNTHIA to Cityscapes, respectively.","2575-7075","978-1-7281-7168-5","10.1109/CVPR42600.2020.00964","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9156873","","Semantics;Image segmentation;Roads;Buildings;Visualization;Labeling;Adaptation models","","24","","61","IEEE","5 Aug 2020","","","IEEE","IEEE Conferences"
"Learning from Mistakes: Self-Regularizing Hierarchical Representations in Point Cloud Semantic Segmentation","E. Camuffo; U. Michieli; S. Milani","University of Padova, Italy; University of Padova, Italy; University of Padova, Italy",IEEE Transactions on Multimedia,"","2023","PP","99","1","11","Recent advances in autonomous robotic technologies have highlighted the growing need for precise environmental analysis. Point cloud semantic segmentation has gained attention to accomplish fine-grained scene understanding by acting directly on raw content provided by sensors. Recent solutions showed how different learning techniques can be used to improve the performance of the model, without any architectural or dataset change. Following this trend, we present a coarse-to-fine setup that LEArns from classification mistaKes (LEAK) derived from a standard model. First, classes are clustered into macro groups according to mutual prediction errors; then, the learning process is regularized by: (1) aligning class-conditional prototypical feature representation for both fine and coarse classes, (2) weighting instances with a per-class fairness index. Our LEAK approach is very general and can be seamlessly applied on top of any segmentation architecture; indeed, experimental results showed that it enables state-of-the-art performances on different architectures, datasets and tasks, while ensuring more balanced class-wise results and faster convergence.","1941-0077","","10.1109/TMM.2023.3345152","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10368362","Point Clouds;Semantic Segmentation;Representation Learning;Spectral Clustering;Prototypes;Fairness","Prototypes;Standards;Semantics;Point cloud compression;Semantic segmentation;Computer architecture;Training","","4","","","CCBY","21 Dec 2023","","","IEEE","IEEE Early Access Articles"
"CARD: Semantic Segmentation With Efficient Class-Aware Regularized Decoder","Y. Huang; D. Kang; L. Chen; W. Jia; X. He; L. Duan; X. Zhe; L. Bao","Shenzhen Institute for Advanced Study, University of Electronic Science and Technology of China, Shenzhen, China; Tencent AI Lab, Shenzhen, China; College of Photonic and Electronic Engineering, Fujian Normal University, Fuzhou, China; Global Big Data Technologies Centre, University of Technology Sydney, Sydney, NSW, Australia; School of Computer Science, University of Nottingham Ningbo China, Ningbo, China; Shenzhen Institute for Advanced Study, University of Electronic Science and Technology of China, Shenzhen, China; Tencent AI Lab, Shenzhen, China; School of Computer Science, University of Birmingham, Birmingham, U.K.",IEEE Transactions on Circuits and Systems for Video Technology,"30 Oct 2024","2024","34","10","9024","9038","Semantic segmentation has recently achieved notable advances by exploiting “class-level” contextual information during learning, e.g., the Object Contextual Representation (OCR) and Context Prior (CPNet) approaches. However, these approaches simply concatenate class-level information to pixel features to boost pixel representation learning, which cannot fully utilize intra-class and inter-class contextual information. Moreover, these approaches learn soft class centers based on coarse mask prediction, which is prone to error accumulation. To better exploit class-level information, we propose a universal Class-Aware Regularization (CAR) approach to optimize the intra-class variance and inter-class distance during feature learning, motivated by the fact that humans can recognize an object by itself no matter which other objects it appears with. Moreover, we design a dedicated decoder for CAR (named CARD), which consists of a novel spatial token mixer and an upsampling module, to maximize its gain for existing baselines while being highly efficient in terms of computational cost. Specifically, CAR consists of three novel loss functions. The first loss function encourages more compact class representations within each class, the second directly maximizes the distance between different class centers, and the third further pushes the distance between inter-class centers and pixels. Furthermore, the class center in our approach is directly generated from ground truth instead of from the error-prone coarse prediction. CAR can be directly applied to most existing segmentation models during training, including OCR and CPNet, and can largely improve their accuracy at no additional inference overhead. Extensive experiments and ablation studies conducted on multiple benchmark datasets demonstrate that the proposed CAR can boost the accuracy of all baseline models by up to 2.23% mIOU with superior generalization ability. CARD outperforms state-of-the-art approaches on multiple benchmarks with a highly efficient architecture. The code will be available at https://github.com/edwardyehuang/CAR.","1558-2205","","10.1109/TCSVT.2024.3395132","National Natural Science Foundation of China(grant numbers:61901117); Natural Science Foundation of Fujian Province(grant numbers:2023J01083); Shenzhen LongHua Fundamental Research Program(grant numbers:10162A20230325B73A546); OpenI Community (https://openi.pcl.ac.cn); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10510312","Semantic segmentation;representation learning;cityscapes;Pascal context;COCOStuff","Automobiles;Feature extraction;Semantic segmentation;Task analysis;Decoding;Training;Cows","","1","","70","IEEE","29 Apr 2024","","","IEEE","IEEE Journals"
"Topological Regularization for Dense Prediction","D. Fu; B. J. Nelson","Department of Statistics, University of Chicago; Department of Statistics, University of Chicago",2022 21st IEEE International Conference on Machine Learning and Applications (ICMLA),"23 Mar 2023","2022","","","45","52","Dense prediction tasks such as depth perception and semantic segmentation are important applications in computer vision that have a concrete topological description in terms of partitioning an image into connected components or estimating a function with a small number of local extrema corresponding to objects in the image. We develop a form of topological regularization based on persistent homology that can be used in dense prediction tasks with these topological descriptions. Experimental results show that the output topology can also appear in the internal activations of trained neural networks which allows for a novel use of topological regularization to the internal states of neural networks during training, reducing the computational cost of the regularization. We demonstrate that this topological regularization of internal activations leads to improved convergence and test benchmarks on several problems and architectures.","","978-1-6654-6283-9","10.1109/ICMLA55696.2022.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10069898","Computational topology;Topological data analysis;Persistent homology;Monocular depth estimation;Semantic segmentation","Training;Semantic segmentation;Neural networks;Machine learning;Network architecture;Transformers;Topology","","","","55","IEEE","23 Mar 2023","","","IEEE","IEEE Conferences"
"HybridCR: Weakly-Supervised 3D Point Cloud Semantic Segmentation via Hybrid Contrastive Regularization","M. Li; Y. Xie; Y. Shen; B. Ke; R. Qiao; B. Ren; S. Lin; L. Ma","School of Computer Science and Technology, East China Normal University, Shanghai, China; School of Computer Science and Technology, East China Normal University, Shanghai, China; Tencent Youtu Lab; Tencent Youtu Lab; Tencent Youtu Lab; Tencent Youtu Lab; School of Computer Science and Technology, East China Normal University, Shanghai, China; School of Computer Science and Technology, East China Normal University, Shanghai, China",2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"27 Sep 2022","2022","","","14910","14919","To address the huge labeling cost in large-scale point cloud semantic segmentation, we propose a novel hybrid contrastive regularization (HybridCR) framework in weakly-supervised setting, which obtains competitive performance compared to its fully-supervised counterpart. Specifically, HybridCR is the first framework to leverage both point consistency and employ contrastive regularization with pseudo labeling in an end-to-end manner. Fundamentally, HybridCR explicitly and effectively considers the semantic similarity between local neighboring points and global characteristics of 3D classes. We further design a dynamic point cloud augmentor to generate diversity and robust sample views, whose transformation parameter is jointly optimized with model training. Through extensive experiments, HybridCR achieves significant performance improvement against the SOTA methods on both indoor and outdoor datasets, e.g., S3DIS, ScanNet-V2, Semantic3D, and SemanticKITTI.","2575-7075","978-1-6654-6946-3","10.1109/CVPR52688.2022.01451","National Key Research and Development Program of China(grant numbers:2019YFC1521104); National Natural Science Foundation of China(grant numbers:72192821,61972157,62102151,62176092); Shanghai Municipal Science and Technology Major Project(grant numbers:2021SHZDZX0102); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9879771","Computer vision for social good; Segmentation;grouping and shape analysis; Self-& semi-& meta- Transfer/low-shot/long-tail learning","Point cloud compression;Training;Computer vision;Three-dimensional displays;Costs;Shape;Computational modeling","","54","","40","IEEE","27 Sep 2022","","","IEEE","IEEE Conferences"
"Coarse-to-Fine Domain Adaptive Semantic Segmentation with Photometric Alignment and Category-Center Regularization","H. Ma; X. Lin; Z. Wu; Y. Yu",The University of Hong Kong; The University of Hong Kong; Deepwise AI Lab; The University of Hong Kong,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"2 Nov 2021","2021","","","4050","4059","Unsupervised domain adaptation (UDA) in semantic segmentation is a fundamental yet promising task relieving the need for laborious annotation works. However, the domain shifts/discrepancies problem in this task compromise the final segmentation performance. Based on our observation, the main causes of the domain shifts are differences in imaging conditions, called image-level domain shifts, and differences in object category configurations called category-level domain shifts. In this paper, we propose a novel UDA pipeline that unifies image-level alignment and category-level feature distribution regularization in a coarse-to-fine manner. Specifically, on the coarse side, we propose a photometric alignment module that aligns an image in the source domain with a reference image from the target domain using a set of image-level operators; on the fine side, we propose a category-oriented triplet loss that imposes a soft constraint to regularize category centers in the source domain and a self-supervised consistency regularization method in the target domain. Experimental results show that our proposed pipeline improves the generalization capability of the final segmentation model and significantly outperforms all previous state-of-the-arts.","2575-7075","978-1-6654-4509-2","10.1109/CVPR46437.2021.00404","Research and Development; Impact Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577466","","Image segmentation;Adaptation models;Computer vision;Annotations;Computational modeling;Semantics;Pipelines","","41","","37","IEEE","2 Nov 2021","","","IEEE","IEEE Conferences"
