"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Abstract","Author Keywords","Publication Stage"
"Chu J.; Xiao X.; Meng G.; Wang L.; Pan C.","Chu, Jun (38561235500); Xiao, Xu (57201587542); Meng, Gaofeng (16317032400); Wang, Lingfeng (55721448100); Pan, Chunhong (8558023500)","38561235500; 57201587542; 16317032400; 55721448100; 8558023500","Learnable contextual regularization for semantic segmentation of indoor scene images","2017","10.1109/ICIP.2017.8296485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045299439&doi=10.1109%2fICIP.2017.8296485&partnerID=40&md5=529d8fc09cc37f2b4f6a155fae92a625","Semantic segmentation of indoor scene images has a wide range of applications. However, due to a large number of classes and uneven distribution in indoor scenes, mislabels are often made when facing small objects or boundary regions. Technically, contextual information may benefit for segmentation results, but has not yet been exploited sufficiently. In this paper, we propose a learnable contextual regularization model for enhancing the semantic segmentation results of color indoor scene images. This regularization model is combined with a deep convolutional segmentation network without significantly increasing the number of additional parameters. Our model, derived from the inherent contextual regularization on the indoor scene objects, benefits much from the learnable constraint layers bridging the lower layers and the higher layers in the deep convolutional network. The constraint layers are further integrated with a weighted L1-norm based contextual regularization between the neighboring pixels of RGB values to improve the segmentation results. Experimental results on NYUDv2 indoor scene dataset demonstrate the effectiveness and efficiency of the proposed method. © 2017 IEEE.","Contextual constraints; Deep convolutional neural networks; End-to-end training; Semantic segmentation","Final"
"Mai H.; Sun R.; Zhang T.; Wu F.","Mai, Huayu (58568844400); Sun, Rui (57217479666); Zhang, Tianzhu (55729040600); Wu, Feng (57211743319)","58568844400; 57217479666; 55729040600; 57211743319","RankMatch: Exploring the Better Consistency Regularization for Semi-Supervised Semantic Segmentation","2024","10.1109/CVPR52733.2024.00326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206815270&doi=10.1109%2fCVPR52733.2024.00326&partnerID=40&md5=e0cc372c91df8c5e058474a86f77803c","The key lie in semi-supervised semantic segmentation is how to fully exploit substantial unlabeled data to im-prove the model's generalization performance by resorting to constructing effective supervision signals. Most methods tend to directly apply contrastive learning to seek additional supervision to complement independent regular pixel-wise consistency regularization. However, these methods tend not to be preferred ascribed to their complicated designs, heavy memory footprints and susceptibility to confirmation bias. In this paper, we analyze the bottlenecks exist in con-trastive learning-based methods and offer a fresh perspective on inter-pixel correlations to construct more safe and effective supervision signals, which is in line with the nature of semantic segmentation. To this end, we develop a coherent RankMatch network, including the construction of representative agents to model inter-pixel correlation beyond regular individual pixel-wise consistency, and fur-ther unlock the potential of agents by modeling inter-agent relationships in pursuit of rank-aware correlation consis-tency. Extensive experimental results on multiple bench-marks, including mitochondria segmentation, demonstrate that RankMatch performs favorably against state-of-the-art methods. Particularly in the low-data regimes, RankMatch achieves significant improvements. © 2024 IEEE.","","Final"
"Iqbal J.; Rawal H.; Hafiz R.; Chi Y.-T.; Ali M.","Iqbal, Javed (57220635316); Rawal, Hamza (57325560200); Hafiz, Rehan (15765093200); Chi, Yu-Tseh (57776567000); Ali, Mohsen (57054179100)","57220635316; 57325560200; 15765093200; 57776567000; 57054179100","Distribution regularized self-supervised learning for domain adaptation of semantic segmentation","2022","10.1016/j.imavis.2022.104504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134337267&doi=10.1016%2fj.imavis.2022.104504&partnerID=40&md5=6df145afc814f851665b44ef564b5e0e","This paper proposes a novel pixel-level distribution regularization scheme (DRSL) for self-supervised domain adaptation of semantic segmentation. In a typical setting, the classification loss forces the semantic segmentation model to greedily learn the representations that capture inter-class variations in order to determine the decision (class) boundary. Due to the domain-shift, this decision boundary is unaligned in the target domain, resulting in noisy pseudo labels adversely affecting self-supervised domain adaptation. To overcome this limitation, along with capturing inter-class variation, we capture pixel-level intra-class variations through class-aware multi-modal distribution learning (MMDL). Thus, the information necessary for capturing the intra-class variations is explicitly disentangled from the information necessary for inter-class discrimination. Features captured thus are much more informative, resulting in pseudo-labels with low noise. This disentanglement allows us to perform separate alignments in discriminative space and multi-modal distribution space, using cross-entropy based self-learning for former. For later, we propose novel stochastic mode alignment method, by explicitly decreasing the distance between the target and source pixels that map to the same mode. The distance metric learning loss, computed over pseudo-labels and backpropagated from multi-modal modeling head, acts as the regularizer over the base network shared with the segmentation head. The results from comprehensive experiments on synthetic to real domain adaptation setups, i.e., GTA-V/SYNTHIA to Cityscapes, show that DRSL outperforms many existing approaches (a minimum margin of 2.3% and 2.5% in mIoU for SYNTHIA to Cityscapes). © 2022 Elsevier B.V.","Domain adaptation; Multi-modal distribution learning; Self-supervised learning; Semantic segmentation","Final"
"Zhang B.; Zhang Y.; Li Y.; Wan Y.; Guo H.; Zheng Z.; Yang K.","Zhang, Bin (57218111145); Zhang, Yongjun (55577971100); Li, Yansheng (55969097400); Wan, Yi (57213301632); Guo, Haoyu (57236569000); Zheng, Zhi (57213530274); Yang, Kun (57736232700)","57218111145; 55577971100; 55969097400; 57213301632; 57236569000; 57213530274; 57736232700","Semi-supervised Deep Learning via Transformation Consistency Regularization for Remote Sensing Image Semantic Segmentation","2023","10.1109/JSTARS.2022.3203750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137916566&doi=10.1109%2fJSTARS.2022.3203750&partnerID=40&md5=33d58d0ce24a6cdae34ecba353707a0d","Deep convolutional neural networks have gotten a lot of press in the last several years, especially in domains like computer vision and remote sensing (RS). However, achieving superior performance with deep networks highly depends on a massive number of accurately labeled training samples. In real-world applications, gathering a large number of labeled samples is time consuming and labor intensive, especially for pixel-level data annotation. This dearth of labels in land-cover classification is especially pressing in the RS domain because high-precision high-quality labeled samples are extremely difficult to acquire, but unlabeled data are readily available. In this study, we offer a new semisupervised deep semantic labeling framework for the semantic segmentation of high-resolution RS images to take advantage of the limited amount of labeled examples and numerous unlabeled samples. Our model uses transformation consistency regularization to encourage consistent network predictions under different random transformations or perturbations. We try three different transforms to compute the consistency loss and analyze their performance. Then, we present a deep semisupervised semantic labeling technique by using a hybrid transformation consistency regularization. A weighted sum of losses, which contains a supervised term computed on labeled samples and an unsupervised regularization term computed on unlabeled data, may be used to update the network parameters in our technique. Our comprehensive experiments on two RS datasets confirmed that the suggested approach utilized latent information from unlabeled samples to obtain more precise predictions and outperformed existing semisupervised algorithms in terms of performance. Our experiments further demonstrated that our semisupervised semantic labeling strategy has the potential to partially tackle the problem of limited labeled samples for high-resolution RS image land-cover segmentation.  © 2008-2012 IEEE.","Consistency regularization; convolutional neural network (CNN); remote sensing (RS) imagery; semantic segmentation; semisupervised learning (SSL); unlabeled data","Final"
"Bashir R.M.S.; Qaiser T.; Raza S.E.A.; Rajpoot N.M.","Bashir, Raja Muhammad Saad (57204786948); Qaiser, Talha (57190982929); Raza, Shan E Ahmed (54960699400); Rajpoot, Nasir M. (8042017200)","57204786948; 57190982929; 54960699400; 8042017200","Consistency regularisation in varying contexts and feature perturbations for semi-supervised semantic segmentation of histology images","2024","10.1016/j.media.2023.102997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174701285&doi=10.1016%2fj.media.2023.102997&partnerID=40&md5=455869bc80730ecd05456c1056af4d7b","Semantic segmentation of various tissue and nuclei types in histology images is fundamental to many downstream tasks in the area of computational pathology (CPath). In recent years, Deep Learning (DL) methods have been shown to perform well on segmentation tasks but DL methods generally require a large amount of pixel-wise annotated data. Pixel-wise annotation sometimes requires expert's knowledge and time which is laborious and costly to obtain. In this paper, we present a consistency based semi-supervised learning (SSL) approach that can help mitigate this challenge by exploiting a large amount of unlabelled data for model training thus alleviating the need for a large annotated dataset. However, SSL models might also be susceptible to changing context and features perturbations exhibiting poor generalisation due to the limited training data. We propose an SSL method that learns robust features from both labelled and unlabelled images by enforcing consistency against varying contexts and feature perturbations. The proposed method incorporates context-aware consistency by contrasting pairs of overlapping images in a pixel-wise manner from changing contexts resulting in robust and context invariant features. We show that cross-consistency training makes the encoder features invariant to different perturbations and improves the prediction confidence. Finally, entropy minimisation is employed to further boost the confidence of the final prediction maps from unlabelled data. We conduct an extensive set of experiments on two publicly available large datasets (BCSS and MoNuSeg) and show superior performance compared to the state-of-the-art methods. © 2023 The Author(s)","Computational pathology; Contrastive learning; Deep learning; Semi-supervised learning; Whole slide images","Final"
"Zhou Q.; Zhuang C.; Yi R.; Lu X.; Ma L.","Zhou, Qianyu (57219734464); Zhuang, Chuyun (57313923800); Yi, Ran (35306170600); Lu, Xuequan (55794820600); Ma, Lizhuang (8930473900)","57219734464; 57313923800; 35306170600; 55794820600; 8930473900","Domain Adaptive Semantic Segmentation via Regional Contrastive Consistency Regularization","2022","10.1109/ICME52920.2022.9859793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137676788&doi=10.1109%2fICME52920.2022.9859793&partnerID=40&md5=daad03b3642408d898ddb132df6aaa03","Unsupervised domain adaptation (UDA) for semantic seg-mentation has been well-studied in recent years. However, most existing works largely neglect the local regional consis-tency across different domains, and are less robust to changes in outdoor environments. In this paper, we propose a novel and fully end-to-end trainable approach, called regional contrastive consistency regularization (RCCR) for domain adaptive semantic segmentation. Our core idea is to pull the sim-ilar regional features extracted from the same location of dif-ferent images, i.e., the original image and augmented image, to be closer, and meanwhile push the features from the dif-ferent locations of the two images to be separated. We pro-pose a region-wise contrastive loss with two sampling strate-gies to realize effective regional consistency. Besides, we present momentum projection heads, where the teacher pro-jection head is the exponential moving average of the student. Finally, a memory bank mechanism is designed to learn more robust and stable region-wise features under varying environ-ments. Extensive experiments demonstrate that our approach outperforms the state-of-the-art methods.  © 2022 IEEE.","Contrastive Learning; Domain Adaptation; Semantic Segmen-tation","Final"
"Volpi M.; Tuia D.","Volpi, Michele (35796556100); Tuia, Devis (15766793800)","35796556100; 15766793800","Deep multi-task learning for a geographically-regularized semantic segmentation of aerial images","2018","10.1016/j.isprsjprs.2018.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049446921&doi=10.1016%2fj.isprsjprs.2018.06.007&partnerID=40&md5=3847a486732b09a64005c2bc4aa83ee2","When approaching the semantic segmentation of overhead imagery in the decimeter spatial resolution range, successful strategies usually combine powerful methods to learn the visual appearance of the semantic classes (e.g. convolutional neural networks) with strategies for spatial regularization (e.g. graphical models such as conditional random fields). In this paper, we propose a method to learn evidence in the form of semantic class likelihoods, semantic boundaries across classes and shallow-to-deep visual features, each one modeled by a multi-task convolutional neural network architecture. We combine this bottom-up information with top-down spatial regularization encoded by a conditional random field model optimizing the label space across a hierarchy of segments with constraints related to structural, spatial and data-dependent pairwise relationships between regions. Our results show that such strategy provide better regularization than a series of strong baselines reflecting state-of-the-art technologies. The proposed strategy offers a flexible and principled framework to include several sources of visual and structural information, while allowing for different degrees of spatial regularization accounting for priors about the expected output structures. © 2018 International Society for Photogrammetry and Remote Sensing, Inc. (ISPRS)","Aerial imagery; Conditional random fields; Convolutional neural networks; Decimeter resolution; Multi-task learning; Semantic boundary detection; Semantic segmentation","Final"
"Zhang H.; Li H.; Zhang X.; Yang G.; Li A.; Du W.; Xue S.; Liu C.","Zhang, HaiKuan (58222274100); Li, Haitao (36340209300); Zhang, Xiufeng (58964323300); Yang, Guanyu (57194783935); Li, Atao (58964411100); Du, Weisheng (59489177800); Xue, Shanshan (58800039700); Liu, Chi (57209296704)","58222274100; 36340209300; 58964323300; 57194783935; 58964411100; 59489177800; 58800039700; 57209296704","Noise-robust consistency regularization for semi-supervised semantic segmentation","2025","10.1016/j.neunet.2024.107041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213258045&doi=10.1016%2fj.neunet.2024.107041&partnerID=40&md5=387b4fb3bfd12ef5fe5f8060d8731c2f","The essential of semi-supervised semantic segmentation (SSSS) is to learn more helpful information from unlabeled data, which can be achieved by assigning adequate quality pseudo-labels or managing noisy pseudo-labels during training. However, most relevant state-of-the-art (SOTA) methods are mainly devoted to improving one aspect. By revisiting the representative SSSS methods from a robust learning view, this paper discovers that the appropriate combination of multiple noise-robust methods contributes both to assigning sufficient quality pseudo labels and managing noisy labels. Therefore, from five different noise management perspectives, we summarize the reasons why noise-robust techniques can successfully harvest performance gains in SSSS. Subsequently, we present a novel feature perturbation method, multi-view learning strategy, and robust loss function to exploit the advantages of different noise-robust techniques. The outcome of this paper is a new SSSS approach with noise-robust consistency regularization called NRCR that can simultaneously produce adequate quality pseudo-labels and manage noisy pseudo-labels. Abundant experiments on public benchmarks demonstrate the performance superiority of our approach compared with previous SOTA methods and the correctness of our analytical viewpoints. Code is available at https://github.com/zhanghk1996/NRCR. © 2024","Consistency regularization; Feature perturbation; Multi-view learning; Robust learning; Semi-supervised semantic segmentation","Final"
"Cai M.; Chen H.; Zhang T.; Zhuang Y.; Chen L.","Cai, Miaoxin (58864958000); Chen, He (58567724000); Zhang, Tong (59078580100); Zhuang, Yin (57189629709); Chen, Liang (57037284200)","58864958000; 58567724000; 59078580100; 57189629709; 57037284200","Consistency Regularization Based on Masked Image Modeling for Semisupervised Remote Sensing Semantic Segmentation","2024","10.1109/JSTARS.2024.3435509","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200803682&doi=10.1109%2fJSTARS.2024.3435509&partnerID=40&md5=430a4fddb13ccf663d99bfc102df197e","Semisupervised semantic segmentation aims to effectively leverage both unlabeled and scare labeled images, reducing the reliance on labor-intensive pixel-level labeling for extensive training processes. The leading semisupervised learning method, consistency regularization, employs weak and strong data augmentations to diversify input representations. Ultimately the model is compelled to maintain consistent predictions across different input views, thus boosting the model's generalization. However, previous methods suffered from limited input representation space introduced by linear transformations such as cutmix. To address such issue, a consistency regularization based on masked image modeling (MIM) called MIMSeg is proposed to achieve accurate segmentation with limited labeled images. First, MIM pixel-wise perception with ViT encoder-decoder lays the foundation for expanding the data representation space. Second, collaborating with weak data augmentations, two MIM-related strong data augmentations are developed to generate more challenging input views for consistent predictions. Precisely, weak data augmentations are employed to replicate input views from various perspectives while a controllable generative strong data augmentation called masked image reconstruction (MIR) is crafted to simulate multiple imaging diversity while preserving the original semantic information intact. In addition, a more severe strong data augmentation masked context perturbation (MCP) is designed to further generate more challenging input views and alleviate semantic deficiency via masked category prediction. Leveraging the MIM perception and two MIM-related strong data augmentations, the model is compelled to achieve consistency predictions across diverse input views from weak data augmentations, MIR and MCP. These components result in the generation of more stable pixel-level pseudo-labels and facilitate collaborative training between unlabeled and labeled images. Extensive experiments have shown that MIMSeg can achieve state-of-the-art performance in pixel-level prediction with very limited sample annotations.  © 2024 The Authors. This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 License.","Consistency regularization; masked image modeling (MIM); semisupervised semantic segmentation","Final"
"Zhou Q.; Feng Z.; Gu Q.; Cheng G.; Lu X.; Shi J.; Ma L.","Zhou, Qianyu (57219734464); Feng, Zhengyang (57219739023); Gu, Qiqi (57222708139); Cheng, Guangliang (56683735000); Lu, Xuequan (55794820600); Shi, Jianping (55923803000); Ma, Lizhuang (8930473900)","57219734464; 57219739023; 57222708139; 56683735000; 55794820600; 55923803000; 8930473900","Uncertainty-aware consistency regularization for cross-domain semantic segmentation","2022","10.1016/j.cviu.2022.103448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131041701&doi=10.1016%2fj.cviu.2022.103448&partnerID=40&md5=61c48ee3c90afdaa0a6641c6a5076203","Unsupervised domain adaptation (UDA) aims to adapt existing models of the source domain to a new target domain with only unlabeled data. Most existing methods suffer from noticeable negative transfer resulting from either the error-prone discriminator network or the unreasonable teacher model. Besides, the local regional consistency in UDA has been largely neglected, and only extracting the global-level pattern information is not powerful enough for feature alignment due to the abuse use of contexts. To this end, we propose an uncertainty-aware consistency regularization method for cross-domain semantic segmentation. Firstly, we introduce an uncertainty-guided consistency loss with a dynamic weighting scheme by exploiting the latent uncertainty information of the target samples. As such, more meaningful and reliable knowledge from the teacher model can be transferred to the student model. We further reveal the reason why the current consistency regularization is often unstable in minimizing the domain discrepancy. Besides, we design a ClassDrop mask generation algorithm to produce strong class-wise perturbations. Guided by this mask, we propose a ClassOut strategy to realize effective regional consistency in a fine-grained manner. Experiments demonstrate that our method outperforms the state-of-the-art methods on four domain adaptation benchmarks, i.e., GTAV → Cityscapes, SYNTHIA → Cityscapes, Virtual KITTI ⟶ KITTI and Cityscapes ⟶ KITTI. © 2022 Elsevier Inc.","Consistency regularization; Domain adaptation; Semantic segmentation; Transfer learning","Final"
