"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"","","","24th International Conference on Medical Image Computing and Computer Assisted Intervention, MICCAI 2021","2021","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12903 LNCS","","","","","5669","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116503927&partnerID=40&md5=5657c1cb4213a2ba6a2c8507f33b2f61","The proceedings contain 531 papers. The special focus in this conference is on Medical Image Computing and Computer Assisted Intervention. The topics include: TransBTS: Multimodal Brain Tumor Segmentation Using Transformer; automatic Polyp Segmentation via Multi-scale Subtraction Network; patch-Free 3D Medical Image Segmentation Driven by Super-Resolution Technique and Self-Supervised Guidance; progressively Normalized Self-Attention Network for Video Polyp Segmentation; SGNet: Structure-Aware Graph-Based Network for Airway Semantic Segmentation; NucMM Dataset: 3D Neuronal Nuclei Instance Segmentation at Sub-Cubic Millimeter Scale; AxonEM Dataset: 3D Axon Instance Segmentation of Brain Cortical Regions; improved Brain Lesion Segmentation with Anatomical Priors from Healthy Subjects; carveMix: A Simple Data Augmentation Method for Brain Lesion Segmentation; TransFuse: Fusing Transformers and CNNs for Medical Image Segmentation; boundary-Aware Transformers for Skin Lesion Segmentation; A Topological-Attention ConvLSTM Network and Its Application to EM Images; BiX-NAS: Searching Efficient Bi-directional Architecture for Medical Image Segmentation; multi-task, Multi-domain Deep Segmentation with Shared Representations and Contrastive Regularization for Sparse Pediatric Datasets; TEDS-Net: Enforcing Diffeomorphisms in Spatial Transformers to Guarantee Topology Preservation in Segmentations; learning Consistency- and Discrepancy-Context for 2D Organ Segmentation; partially-Supervised Learning for Vessel Segmentation in Ocular Images; unsupervised Network Learning for Cell Segmentation; MT-UDA: Towards Unsupervised Cross-modality Medical Image Segmentation with Limited Source Labels; context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation; Pancreas CT Segmentation by Predictive Phenotyping; interactive Segmentation via Deep Learning and B-Spline Explicit Active Surfaces; multi-compound Transformer for Accurate Biomedical Image Segmentation; kCBAC-Net: Deeply Supervised Complete Bipartite Networks with Asymmetric Convolutions for Medical Image Segmentation; Refined Local-imbalance-based Weight for Airway Segmentation in CT.","","Conference review","Final","","Scopus","2-s2.0-85116503927"
"Chen Y.; Qin Z.; Zhang M.; Zhang J.","Chen, Yuyan (59075921500); Qin, Zhenyu (59205886900); Zhang, Mengyao (59205887000); Zhang, Jun (57276938600)","59075921500; 59205886900; 59205887000; 57276938600","Remote Sensing Extraction Method of Terraced Fields Based on Improved DeepLab v3+; [改进DeepLab v3+模型下的梯田遥感提取研究]","2024","Smart Agriculture","6","3","","46","57","11","1","10.12133/j.smartag.SA202312028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197637442&doi=10.12133%2fj.smartag.SA202312028&partnerID=40&md5=c37ed0f5b9d90d08f6d35d5096079080","[Objective] The accurate estimation of terraced field areas is crucial for addressing issues such as slope erosion control, water retention, soil conservation, and increasing food production. The use of high-resolution remote sensing imagery for terraced field information extraction holds significant importance in these aspects. However, as imaging sensor technologies continue to advance, traditional methods focusing on shallow features may no longer be sufficient for precise and efficient extraction in complex terrains and environments. Deep learning techniques offer a promising solution for accurately extracting terraced field areas from high-resolution remote sensing imagery. By utilizing these advanced algorithms, detailed terraced field characteristics with higher levels of automation can be better identified and analyzed. The aim of this research is to explore a proper deep learning algorithm for accurate terraced field area extraction in high-resolution remote sensing imagery. [Methods] Firstly, a terraced dataset was created using high-resolution remote sensing images captured by the Gaofen-6 satellite during fallow periods. The dataset construction process involved data preprocessing, sample annotation, sample cropping, and dataset partitioning with training set augmentation. To ensure a comprehensive representation of terraced field morphologies, 14 typical regions were selected as training areas based on the topographical distribution characteristics of Yuanyang county. To address misclassifica-tions near image edges caused by limited contextual information, a sliding window approach with a size of 256 pixels and a stride of 192 pixels in each direction was utilized to vary the positions of terraced fields in the images. Additionally, geometric augmentation techniques were applied to both images and labels to enhance data diversity, resulting in a high-resolution terraced remote sensing dataset. Secondly, an improved DeepLab v3+ model was proposed. In the encoder section, a lightweight MobileNet v2 was utilized instead of Xception as the backbone network for the semantic segmentation model. Two shallow features from the 4th and 7th layers of the MobileNet v2 network were extracted to capture relevant information. To address the need for local details and global context simultaneously, the multi-scale feature fusion (MSFF) module was employed to replace the atrous spatial pyramid pooling (ASPP) module. The MSFF module utilized a series of dilated convolutions with increasing dilation rates to handle information loss. Furthermore, a coordinate attention mechanism was applied to both shallow and deep features to enhance the network's understanding of targets. This design aimed to lightweight the DeepLab v3+ model while maintaining segmentation accuracy, thus improving its efficiency for practical applications. [Results and Discussions] The research findings reveal the following key points: (1) The model trained using a combination of near-infrared, red, and green (NirRG) bands demonstrated the optimal overall performance, achieving precision, recall, F1-Score, and intersection over union (IoU) values of 90.11%, 90.22%, 90.17% and 82.10%, respectively. The classification results indicated higher accuracy and fewer discrepancies, with an error in reference area of only 12 hm2. (2) Spatial distribution patterns of terraced fields in Yuanyang county were identified through the deep learning model. The majority of terraced fields were found within the slope range of 8ºto 25º, covering 84.97% of the total terraced area. Additionally, there was a noticeable concentration of terraced fields within the altitude range of 1 000 m to 2 000 m, accounting for 95.02% of the total terraced area. (3) A comparison with the original DeepLab v3+ network showed that the improved DeepLab v3+ model exhibited enhancements in terms of precision, recall, F1-Score, and IoU by 4.62%, 2.61%, 3.81% and 2.81%, respectively. Furthermore, the improved DeepLab v3+ outperformed UNet and the original DeepLab v3+ in terms of parameter count and floating-point operations. Its parameter count was only 28.6% of UNet and 19.5% of the original DeepLab v3+, while the floating-point operations were only 1/5 of UNet and DeepLab v3+. This not only improved computational efficiency but also made the enhanced model more suitable for resource-limited or computationally less powerful environments. The lightweighting of the DeepLab v3+ network led to improvements in accuracy and speed. However, the slection of the NirGB band combination during fallow periods significantly impacted the model's generalization ability. [Conclusions] The research findings highlights the significant contribution of the near-infrared (NIR) band in enhancing the model's ability to learn terraced field features. Comparing different band combinations, it was evident that the NirRG combination resulted in the highest overall recognition performance and precision metrics for terraced fields. In contrast to PSPNet, UNet, and the original DeepLab v3+, the proposed model showcased superior accuracy and performance on the terraced field dataset. Noteworthy improvements were observed in the total parameter count, floating-point operations, and the Epoch that led to optimal model performance, outperforming UNet and DeepLab v3+. This study underscores the heightened accuracy of deep learning in identifying terraced fields from high-resolution remote sensing imagery, providing valuable insights for enhanced monitoring and management of terraced landscapes. copyright©2024 by the authors.","convolutional neural network; DeepLab v3+; GF-6 satellite; remote sensing; terrace extraction","Article","Final","","Scopus","2-s2.0-85197637442"
"Cherukuri V.; Vijay Kumar B.G.; Bala R.; Monga V.","Cherukuri, Venkateswararao (57195523324); Vijay Kumar, B.G. (34870934900); Bala, Raja (7004915617); Monga, Vishal (6602625251)","57195523324; 34870934900; 7004915617; 6602625251","Multi-Scale Regularized Deep Network for Retinal Vessel Segmentation","2019","Proceedings - International Conference on Image Processing, ICIP","2019-September","","8803762","824","828","4","5","10.1109/ICIP.2019.8803762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076819118&doi=10.1109%2fICIP.2019.8803762&partnerID=40&md5=416e9092f64e6cef8cd3dbe503c3547c","Vessel segmentation of retinal images is a key diagnostic capability in ophthalmology. Early approaches addressing this problem employed hand-crafted filters to capture vessel structures, accompanied by morphological processing. More recently, deep learning techniques have been employed to significantly enhance segmentation accuracy. We propose a novel domain enriched deep network that consists of two components: 1) a representation network which learns geometric (specifically curvilinear) features that are tailored to retinal images, followed by 2) a task network that utilizes the features obtained from the representation layer to perform pixel-level segmentation. The representation and task networks are learned jointly for any given training set. To obtain effective representation filters, we develop a new orientation constraint that enables geometric diversity of curvilinear features. A multi-scale extension is further developed to enhance segmentation of thin vessels. Experiments performed on two challenging benchmark databases reveal that the proposed regularized deep network can outperform state of the art alternatives as measured by common evaluation metrics. Further, the proposed method exhibits a more graceful decay in performance as training data is reduced. © 2019 IEEE.","deep learning; priors.; segmentation","Conference paper","Final","","Scopus","2-s2.0-85076819118"
"","","","9th International Conference on Image and Graphics, ICIG 2017","2017","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","10668 LNCS","","","","","1955","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040218912&partnerID=40&md5=62810551460a2d88d38e34e9db5219a3","The proceedings contain 172 papers. The special focus in this conference is on Image and Graphics. The topics include: New tikhonov regularization for blind image restoration; real-time multi-camera video stitching based on improved optimal stitch line and multi-resolution fusion; image quality assessment of enriched tonal levels images; a variational model to extract texture from noisy image data with local variance constraints; Joint visualization of UKF tractography data; semantic segmentation based automatic two-tone portrait synthesis; Parameters sharing multi-items non-parametric factor microfacet model for isotropic and anisotropic BRDFs; SRG and RMSE-based automated segmentation for volume data; shape recovery of endoscopic videos by shape from shading using mesh regularization; RGB-D saliency detection with multi-feature-fused optimization; lazy recoloring; Similar trademark image retrieval integrating LBP and convolutional neural network; adaptive learning compressive tracking based on Kalman filter; Online high-accurate calibration of RGB+3D-LiDAR for autonomous driving; run-based connected components labeling using double-row scan; a 3D tube-object centerline extraction algorithm based on steady fluid dynamics; Moving objects detection in video sequences captured by a PTZ camera; Fast grid-based fluid dynamics simulation with conservation of momentum and kinetic energy on GPU; adaptive density optimization of lattice structures sustaining the external multi-load; hyperspectral image classification based on deep forest and spectral-spatial cooperative feature; research on color image segmentation; hyperspectral image classification using multi vote strategy on convolutional neural network and sparse representation joint feature; efficient deep belief network based hyperspectral image classification; classification of hyperspectral imagery based on dictionary learning and extended multi-attribute profiles; sparse acquisition integral imaging system.","","Conference review","Final","","Scopus","2-s2.0-85040218912"
"Xu G.; Li G.","Xu, Gang (55726324100); Li, Guo (57226172200)","55726324100; 57226172200","Research on lightweight neural network of aerial powerline image segmentation; [轻量化航拍图像电力线语义分割]","2021","Journal of Image and Graphics","26","11","","2605","2618","13","8","10.11834/jig.200690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119292127&doi=10.11834%2fjig.200690&partnerID=40&md5=6748002fd1eaaa7cd6c261b0bd5e777b","Objective: Powerline semantic segmentation of aerial images, as an important content of powerline intelligent inspection research, has received widespread attention. Recently, several deep learning-based methods have been proposed in this field and achieved high accuracy. However, two major problems still need to be solved before deep learning models can be applied in practice. First, the sample size of publicly available datasets is small. Unlike target objects in other semantic segmentation tasks (e.g., cars and buildings), powerlines have few textures and structural features, which make powerlines easy to be misidentified, especially in scenes that are not covered by the training set. Therefore, constructing a training set that contains many different background samples is crucial to improve the generalization capability of the model. The second problem is the conflict between the amount of model computation and the limited terminal computing resources. Previous work has demonstrated that an improved U-Net model can segment powerlines from aerial images with satisfactory accuracy. However, the model is computationally expensive for many resource-constrained inference terminals (e.g., unmanned aerial vehicles(UAVs)). Method: In this study, the background images in the training set were learned using a generative adversarial network (GAN) to generate a series of pseudo-backgrounds, and curved powerlines were drawn on the generated images by utilizing conic curves. In detail, a multi-scale-based automatic growth model called progressive growing of GANs (PGGAN) was adopted to learn the mapping of a random noise vector to the background images in the training set. Then, its generator was used to generate serials of the background images. These background images and the curved powerlines generated by the conic curves were fused in the alpha channel. We created three training sets. The first one consisted of only 2 000 real background pictures, and the second was a mixture of 10 000 real and generated background images. The third training dataset was composed of 200 generated backgrounds and used to evaluate the similarity between the generated and original images. At the input of the segmentation network, random hue perturbation was applied to the images to enhance the generalization of the model across seasons. Then, the convergence accuracy of U-Net networks with three different loss functions was compared in RGB and grayscale color spaces to determine the best combination. Specifically, we trained U-Net with focal, soft-IoU, and Dice loss functions in RGB and gray spaces and compared the convergence accuracy, convergence speed, and overfitting of the six obtained models. Afterward, sparse regularization was applied to the pre-trained full model, and structured network pruning was performed to reduce the computation load in network inference. A saliency metric that combines first-order Taylor expansion and 2-norm metric was proposed to guide the regularization and pruning process. It provided a higher compression rate compared with the 2-norm that was used in the previous pruning algorithm. Conventional saliency metrics based on first-order expansion can change by orders of magnitude during the regularization process, thus making threshold selection during the iterative process difficult. Compared with these conventional metrics, the proposed metric has a more stable range of values, which enables the use of iteration-based regularization methods. We adopted a 0-norm-based regularization method to widen the saliency gap between important and unimportant neurons. To select the decision threshold, we used an adaptive approach, which was more robust to changes in luminance compared with the fixed-threshold method used in previous work. Result: Experimental results showed that the convergence accuracy of the curved powerline dataset was higher than that of the straight powerline dataset. In RGB space, the hybrid dataset using GAN had higher convergence accuracy than the dataset using only real images, but no significant improvement in gray space was observed due to the possibility of model collapse. We confirmed that hue disturbance can effectively improve the performance of the model across seasons. The experimental results of the different loss functions revealed that the convergence intersection-over-union(IoU) of RGB and gray spaces under their respective optimal loss functions was 0.578 and 0.586, respectively. Dice and soft-IoU had a negligible difference in convergence speed and achieved the best accuracy in gray and RGB spaces, respectively. The convergence of focal loss was the slowest in both spaces, and neither achieved the optimal accuracy. At the pruning stage, by using the conventional 2-norm saliency metric, the proposed gray space lightweight model (IoU of 0.459) reduced the number of floating-point operations per second (FLOPs) and parameters to 3.05% and 0.03% of the full model in RGB space, respectively (IoU of 0.573). When the proposed joint saliency metric was used, the numbers of FLOPs and parameters further decreased to 0.947% and 0.015% of the complete model, respectively, while maintaining an IoU of 0.42. The experiment also showed that the Otsu threshold method worked stably within the appropriate range of illumination changes, and a negligible difference from the optimal threshold was observed. Conclusion: Improvements in the dataset and loss function independently enhanced the performance of the baseline model. Sparse regularization and network pruning reduced the network parameters and calculation load, which facilitated the deployment of the model on resource-constrained inferring terminals, such as UAVs. The proposed saliency measure exhibited better compression capabilities than the conventional 2-norm metric, and the adaptive threshold method helped improve the robustness of the model when the luminance changed. © 2021, Editorial Office of Journal of Image and Graphics. All right reserved.","Generated adversarial network(GAN); Image semantic segmentation; Network pruning; Smart inspection; Sparse regularization","Article","Final","","Scopus","2-s2.0-85119292127"
"","","","24th International Conference on Medical Image Computing and Computer Assisted Intervention, MICCAI 2021","2021","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12908 LNCS","","","","","5669","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116449682&partnerID=40&md5=a936522a42c5fb2669e4c78d144da38a","The proceedings contain 531 papers. The special focus in this conference is on Medical Image Computing and Computer Assisted Intervention. The topics include: TransBTS: Multimodal Brain Tumor Segmentation Using Transformer; automatic Polyp Segmentation via Multi-scale Subtraction Network; patch-Free 3D Medical Image Segmentation Driven by Super-Resolution Technique and Self-Supervised Guidance; progressively Normalized Self-Attention Network for Video Polyp Segmentation; SGNet: Structure-Aware Graph-Based Network for Airway Semantic Segmentation; NucMM Dataset: 3D Neuronal Nuclei Instance Segmentation at Sub-Cubic Millimeter Scale; AxonEM Dataset: 3D Axon Instance Segmentation of Brain Cortical Regions; improved Brain Lesion Segmentation with Anatomical Priors from Healthy Subjects; carveMix: A Simple Data Augmentation Method for Brain Lesion Segmentation; TransFuse: Fusing Transformers and CNNs for Medical Image Segmentation; boundary-Aware Transformers for Skin Lesion Segmentation; A Topological-Attention ConvLSTM Network and Its Application to EM Images; BiX-NAS: Searching Efficient Bi-directional Architecture for Medical Image Segmentation; multi-task, Multi-domain Deep Segmentation with Shared Representations and Contrastive Regularization for Sparse Pediatric Datasets; TEDS-Net: Enforcing Diffeomorphisms in Spatial Transformers to Guarantee Topology Preservation in Segmentations; learning Consistency- and Discrepancy-Context for 2D Organ Segmentation; partially-Supervised Learning for Vessel Segmentation in Ocular Images; unsupervised Network Learning for Cell Segmentation; MT-UDA: Towards Unsupervised Cross-modality Medical Image Segmentation with Limited Source Labels; context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation; Pancreas CT Segmentation by Predictive Phenotyping; interactive Segmentation via Deep Learning and B-Spline Explicit Active Surfaces; multi-compound Transformer for Accurate Biomedical Image Segmentation; kCBAC-Net: Deeply Supervised Complete Bipartite Networks with Asymmetric Convolutions for Medical Image Segmentation; Refined Local-imbalance-based Weight for Airway Segmentation in CT.","","Conference review","Final","","Scopus","2-s2.0-85116449682"
"","","","Proceedings - 21st IEEE International Conference on Machine Learning and Applications, ICMLA 2022","2022","Proceedings - 21st IEEE International Conference on Machine Learning and Applications, ICMLA 2022","","","","","","1805","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152284147&partnerID=40&md5=5f193ef8ea2866c93de32e33e8f65499","The proceedings contain 268 papers. The topics discussed include: addressing sample efficiency and model-bias in model-based reinforcement learning; reinforcement learning based architectures for dynamic generation of smart home services; attention-based partial decoupling of policy and value for generalization in reinforcement learning; an empirical evaluation of multivariate time series classification with input transformation across different dimensions; topological regularization for dense prediction; real-time cattle interaction recognition via triple-stream network; deeper bidirectional neural networks with generalized non-vanishing hidden neurons; recycling material classification using convolutional neural networks; automatic key information extraction from visually rich documents; multi-stream deep residual network for cloud imputation using multi-resolution remote sensing imagery; structural health and intelligent monitoring of wind turbine blades with a motorized telescope; and deep learning based re-identification of wooden euro-pallets.","","Conference review","Final","","Scopus","2-s2.0-85152284147"
"","","","21st International Conference on Image Analysis and Processing, ICIAP 2022","2022","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13233 LNCS","","","","","2040","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131156934&partnerID=40&md5=da694c2bf2b4a4cf0ff415d80c89905e","The proceedings contain 168 papers. The special focus in this conference is on Image Analysis and Processing. The topics include: Leveraging Road Area Semantic Segmentation with Auxiliary Steering Task; Pulmonary-Restricted COVID-19 Informative Visual Screening Using Chest X-ray Images from Portable Devices; unsupervised Multi-camera Domain Adaptation for Object Detection in Cultural Sites; automatic Classification of Fresco Fragments: A Machine and Deep Learning Study; The AIRES-CH Project: Artificial Intelligence for Digital REStoration of Cultural Heritages Using Nuclear Imaging and Multidimensional Adversarial Neural Networks; Grad 2 VAE: An Explainable Variational Autoencoder Model Based on Online Attentions Preserving Curvatures of Representations; pruning in the Face of Adversaries; Towards Latent Space Optimization of GANs Using Meta-Learning; DMSANet: Dual Multi Scale Attention Network; enhanced Data-Recalibration: Utilizing Validation Data to Mitigate Instance-Dependent Noise in Classification; a Comparison of Deep Learning Methods for Inebriation Recognition in Humans; contrastive Supervised Distillation for Continual Representation Learning; multiple Input Branches Shift Graph Convolutional Network with DropEdge for Skeleton-Based Action Recognition; Robust Object Detection with Multi-input Multi-output Faster R-CNN; don’t Wait Until the Accident Happens: Few-Shot Classification Framework for Car Accident Inspection in a Real World; CVGAN: Image Generation with Capsule Vector-VAE; Avalanche RL: A Continual Reinforcement Learning Library; towards an Efficient Facial Image Compression with Neural Networks; consistency Regularization for Unsupervised Domain Adaptation in Semantic Segmentation; medicinal Boxes Recognition on a Deep Transfer Learning Augmented Reality Mobile Application; towards Efficient and Data Agnostic Image Classification Training Pipeline for Embedded Systems; an Intelligent Scanning Vehicle for Waste Collection Monitoring; avoiding Shortcuts in Unpaired Image-to-Image Translation.","","Conference review","Final","","Scopus","2-s2.0-85131156934"
"Liu Y.; Zhang Y.; Wang Y.; Mei S.","Liu, Yuheng (57937822000); Zhang, Yifan (58747629100); Wang, Ye (59295669000); Mei, Shaohui (25822578400)","57937822000; 58747629100; 59295669000; 25822578400","Rethinking Transformers for Semantic Segmentation of Remote Sensing Images","2023","IEEE Transactions on Geoscience and Remote Sensing","61","","5617515","","","","48","10.1109/TGRS.2023.3302024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166767925&doi=10.1109%2fTGRS.2023.3302024&partnerID=40&md5=781fefb001e5d235d7452a09b510f153","Transformer has been widely applied in image processing tasks as a substitute for convolutional neural networks (CNNs) for feature extraction due to its superiority in global context modeling and flexibility in model generalization. However, the existing transformer-based methods for semantic segmentation of remote sensing (RS) images are still with several limitations, which can be summarized into two main aspects: 1) the transformer encoder is generally combined with CNN-based decoder, leading to inconsistency in feature representations; and 2) the strategies for global and local context information utilization are not sufficiently effective. Therefore, in this article, a global-local transformer segmentor (GLOTS) framework is proposed for the semantic segmentation of RS images to acquire consistent feature representations by adopting transformers for both encoding and decoding, in which a masked image modeling (MIM) pretrained transformer encoder is adopted to learn semantic-rich representations of input images and a multiscale global-local transformer decoder is designed to fully exploit the global and local features. Specifically, the transformer decoder uses a feature separation-aggregation module (FSAM) to utilize the feature adequately at different scales and adopts a global-local attention module (GLAM) containing global attention block (GAB) and local attention block (LAB) to capture the global and local context information, respectively. Furthermore, a learnable progressive upsampling strategy (LPUS) is proposed to restore the resolution progressively, which can flexibly recover the fine-grained details in the upsampling process. The experiment results on the three benchmark RS datasets demonstrate that the proposed GLOTS is capable of achieving better performance with some state-of-the-art methods, and the superiority of the proposed framework is also verified by ablation studies. The code will be available at https://github.com/lyhnsn/GLOTS.  © 1980-2012 IEEE.","Encoder-decoder structure; global-local transformer; remote sensing (RS); semantic segmentation","Article","Final","","Scopus","2-s2.0-85166767925"
"Tao C.; Meng Y.; Li J.; Yang B.; Hu F.; Li Y.; Cui C.; Zhang W.","Tao, Chongxin (57224219625); Meng, Yizhuo (57206468834); Li, Junjie (57224222967); Yang, Beibei (57216704141); Hu, Fengmin (57206468334); Li, Yuanxi (57429376600); Cui, Changlu (57196024192); Zhang, Wen (56224552600)","57224219625; 57206468834; 57224222967; 57216704141; 57206468334; 57429376600; 57196024192; 56224552600","MSNet: multispectral semantic segmentation network for remote sensing images","2022","GIScience and Remote Sensing","59","1","","1177","1198","21","22","10.1080/15481603.2022.2101728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135455948&doi=10.1080%2f15481603.2022.2101728&partnerID=40&md5=84cbc21d0e3d34aa1c13b752822c5071","In the research of automatic interpretation of remote sensing images, semantic segmentation based on deep convolutional neural networks has been rapidly developed and applied, and the feature segmentation accuracy and network model generalization ability have been gradually improved. However, most of the network designs are mainly oriented to the three visible RGB bands of remote sensing images, aiming to be able to directly borrow the mature natural image semantic segmentation networks and pre-trained models, but simultaneously causing the waste and loss of spectral information in the invisible light bands such as near-infrared (NIR) of remote sensing images. Combining the advantages of multispectral data in distinguishing typical features such as water and vegetation, we propose a novel deep neural network structure called the multispectral semantic segmentation network (MSNet) for semantic segmentation of multi-classified feature scenes. The multispectral remote sensing image bands are split into two groups, visible and invisible, and ResNet-50 is used for feature extraction in both coding stages, and cascaded upsampling is used to recover feature map resolution in the decoding stage, and the multi-scale image features and spectral features from the upsampling process are fused layer by layer using the feature pyramid structure to finally obtain semantic segmentation results. The training and validation results on two publicly available datasets show that MSNet has competitive performance. The code is available: https://github.com/taochx/MSNet. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","feature fusion; Multispectral remote sensing images; semantic segmentation; spectral feature","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85135455948"
