100 100
1 57 4.00000
3 49 -5.00000
4 28 8.00000
4 96 1.00000
5 36 2.00000
6 52 3.00000
7 20 2.00000
7 25 6.00000
7 86 3.00000
7 87 9.00000
8 4 10.00000
8 75 5.00000
8 78 6.00000
8 86 8.00000
8 100 10.00000
9 19 4.00000
9 73 9.00000
9 96 6.00000
11 11 7.00000
11 67 7.00000
11 95 4.00000
11 96 6.00000
12 13 1.00000
12 54 2.00000
12 68 2.00000
13 39 9.00000
13 97 2.00000
15 12 6.00000
16 26 7.00000
17 16 5.00000
17 55 1.00000
17 70 10.00000
18 33 2.00000
19 9 1.00000
19 30 1.00000
19 34 9.00000
19 51 10.00000
19 63 5.00000
19 99 10.00000
20 83 6.00000
21 13 9.00000
21 31 8.00000
22 70 1.00000
23 49 7.00000
23 76 10.00000
23 82 9.00000
23 96 2.00000
24 21 2.00000
24 42 6.00000
24 48 1.00000
26 91 9.00000
27 53 3.00000
27 85 2.00000
27 100 6.00000
28 44 4.00000
29 38 3.00000
29 62 4.00000
29 82 3.00000
30 52 4.00000
30 70 9.00000
30 71 7.00000
31 62 7.00000
32 11 3.00000
32 93 5.00000
33 60 9.00000
35 29 7.00000
35 32 7.00000
35 80 1.00000
36 49 3.00000
37 6 1.00000
37 67 10.00000
38 11 4.00000
38 16 8.00000
39 75 5.00000
40 39 6.00000
41 30 7.00000
41 55 10.00000
41 82 6.00000
42 84 3.00000
43 68 4.00000
44 2 6.00000
46 7 4.00000
46 68 10.00000
46 97 7.00000
48 9 1.00000
48 73 8.00000
48 77 6.00000
48 82 1.00000
50 17 1.00000
50 75 5.00000
51 14 1.00000
51 36 1.00000
51 93 3.00000
52 35 8.00000
52 50 4.00000
53 45 4.00000
54 22 3.00000
55 17 7.00000
56 88 2.00000
57 71 1.00000
58 8 6.00000
58 47 9.00000
58 52 7.00000
58 60 10.00000
58 65 3.00000
59 9 10.00000
59 64 5.00000
59 99 7.00000
60 3 7.00000
60 4 7.00000
60 91 8.00000
60 94 3.00000
61 4 6.00000
61 28 4.00000
61 95 1.00000
62 32 8.00000
62 41 7.00000
62 45 9.00000
62 85 2.00000
65 16 9.00000
65 23 10.00000
66 29 2.00000
66 78 10.00000
68 2 3.00000
68 77 9.00000
69 30 10.00000
69 40 5.00000
69 69 10.00000
70 52 9.00000
71 71 7.00000
71 83 10.00000
72 12 5.00000
72 95 10.00000
73 77 8.00000
76 86 9.00000
76 91 5.00000
78 88 1.00000
79 38 9.00000
79 49 7.00000
79 81 9.00000
80 3 2.00000
81 24 6.00000
81 45 1.00000
81 78 7.00000
82 62 7.00000
83 75 4.00000
83 89 3.00000
84 6 10.00000
84 14 10.00000
84 35 7.00000
84 37 10.00000
85 2 4.00000
85 75 8.00000
85 78 9.00000
86 79 7.00000
86 100 4.00000
88 45 6.00000
88 87 1.00000
89 16 9.00000
89 50 10.00000
89 96 1.00000
90 35 2.00000
90 75 10.00000
90 94 6.00000
91 33 6.00000
92 75 7.00000
92 100 9.00000
93 16 8.00000
93 47 8.00000
93 83 10.00000
93 97 1.00000
94 5 10.00000
94 21 4.00000
94 37 4.00000
94 84 9.00000
96 8 4.00000
96 84 8.00000
98 22 7.00000
98 56 9.00000
99 14 8.00000
99 23 3.00000
99 57 10.00000
99 96 6.00000
100 63 6.00000
100 81 4.00000
0
100 100
1 5 4
1 2 -5
55 55 4
0
