"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Intelligent Marine Survey: Lightweight Multi-Scale Attention Adaptive Segmentation Framework for Underwater Target Detection of AUV","Q. Wang; Y. Zhang; B. He","School of Information Science and Engineering, Ocean University of China, Qingdao, Shandong, China; School of Information Science and Engineering, Ocean University of China, Qingdao, Shandong, China; School of Information Science and Engineering, Ocean University of China, Qingdao, Shandong, China",IEEE Transactions on Automation Science and Engineering,"4 Feb 2025","2025","22","","1913","1927","Accurate and automatic underwater target recognition is a compelling challenge for autonomous underwater vehicles (AUVs) in intelligent marine surveys. This study proposed a seabed target correction model based on side-scan sonar (SSS) images and combined the navigation information of AUV to achieve pixel-level geocoding. Moreover, a lightweight multi-level attention adaptive segmentation framework ( ${\mathrm{M}}{{\mathrm{A}}^{\mathrm{2}}}{\mathrm{Net}}$ ) was proposed to achieve fine-grained recognition. It contains three new modules: 1) The lightweight attention network (LAN) is designed as the baseline to obtain dense feature maps and focus on interesting features based on a balanced attention mechanism. 2) the multi-scale feature pyramid (MASPP) was then constructed to capture the context of SSS images and extract rich semantic information at high levels. 3) Finally, the adaptive feature fusion module (AFF) effectively incorporates feature maps of MASPP and spatial information to improve the learned representations further. Extensive experiments are verified on six SSS categories and show the remarkable performance of the  ${\mathrm{M}}{{\mathrm{A}}^{\mathrm{2}}}{\mathrm{Net}}$  compared with state-of-the-art methods. Furthermore, real sea trials were conducted by deploying  ${\mathrm{M}}{{\mathrm{A}}^{\mathrm{2}}}{\mathrm{Net}}$  to the autonomous target recognition (ATR) system of AUV, which can achieve 29.7 fps and 81.23% MIoU for a ( $512\times 512$ ) input on a single Nvidia Jetson Xavier. Note to Practitioners—This paper aims to provide a real-time semantic segmentation model for the autonomous target detection of AUV, which is suitable for the autonomous detection of underwater targets by underwater robots (ROV, AUV, ARV, et al). This paper proposes a lightweight, multi-scale attention-adaptive segmentation framework ( ${\mathrm{M}}{{\mathrm{A}}^{\mathrm{2}}}{\mathrm{Net}}$ ) incorporating pixel-level seabed targets rectification methods. The algorithm has high segmentation accuracy and fast operation speed. It can identify seabed targets in high-resolution sonar images online and realize precise positioning of small seabed targets, which is conducive to improving the intelligence level of marine survey unmanned equipment. This paper details the design of  ${\mathrm{M}}{{\mathrm{A}}^{\mathrm{2}}}{\mathrm{Net}}$  and the hardware structure of the autonomous target recognition system (ATR). Plenty of simulation experiments and sea trials have proved the efficiency and practicability of the method for the autonomous detection of different seabed targets (sand waves, coral reefs, metal balls, threads, and artificial reefs). Future research will verify the generalization of the algorithm in more seabed targets.","1558-3783","","10.1109/TASE.2024.3371963","National Key Research and Development Program of China(grant numbers:2016YFC0301400); Natural Science Foundation of Shandong Province, China(grant numbers:ZR2020MF079); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10464247","Autonomous underwater vehicle;underwater targets recognition;side-scan sonar;real-time semantic segmentation","Feature extraction;Sonar;Real-time systems;Surveys;Semantics;Target recognition;Semantic segmentation","","5","","37","IEEE","14 Mar 2024","","","IEEE","IEEE Journals"
"The remote sensing image segmentation of land cover based on multi-scale attention features","H. Hu; L. Yang; J. Chen; S. Luo","School of Big Data, Yunnan Agricultural University, Kunming, China; School of Big Data, Yunnan Agricultural University, Kunming, China; School of Big Data, Yunnan Agricultural University, Kunming, China; School of Big Data, Yunnan Agricultural University, Kunming, China",2023 IEEE 35th International Conference on Tools with Artificial Intelligence (ICTAI),"20 Dec 2023","2023","","","429","436","Segmentation of land cover in remote sensing images is a task that involves interpreting remote sensing data using machine vision. Satisfying segmentation results in agriculture and forestry regions can guide land resource management, natural environment protection, urban construction, and the distribution of agricultural products. However, the performance of the widely used deep learning segmentation model on high-resolution remote sensing segmentation datasets in agriculture and forestry regions needs to be improved. To solve the problems of poor accuracy and loss of context information in remote sensing image semantic segmentation, this paper proposes an improved semantic segmentation network architecture. The model utilizes multi-scale feature extraction, deploys a multi-layer attention feature fusion module and an up-sampling fusion module to capture high-quality multi-scale context information, correctly handle scale changes, and help narrow the semantic gap between different levels. Finally, the proposed MLP decoder refers to the dynamic up-sampling operator to aggregate the information at different levels to achieve pixel segmentation. To verify the effectiveness of our proposed model, the researchers conducted experiments on two land cover segmentation datasets. The training process specifically designs data augmentation strategies for remote sensing segmentation tasks to enhance the model’s generalization ability. The final model achieved an mIoU (mean Intersection over Union) of 65.05% on the self-built rural land cover datasets, surpassing the benchmark network UPerNet by 5.92%. On the LoveDA dataset, our model achieved state-of-the-art performance with an mIoU of 53.39%, demonstrating its versatility.","2375-0197","979-8-3503-4273-4","10.1109/ICTAI59109.2023.00069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10356532","land cover;remote sensing image;neural network;attention mechanism;multi-scale feature","Training;Semantic segmentation;Semantics;Object segmentation;Forestry;Feature extraction;Decoding","","","","40","IEEE","20 Dec 2023","","","IEEE","IEEE Conferences"
"Omni-Seg: A Scale-Aware Dynamic Network for Renal Pathological Image Segmentation","R. Deng; Q. Liu; C. Cui; T. Yao; J. Long; Z. Asad; R. M. Womick; Z. Zhu; A. B. Fogo; S. Zhao; H. Yang; Y. Huo","Department of Computer Science, Vanderbilt University, USA; Department of Computer Science, Vanderbilt University, USA; Department of Computer Science, Vanderbilt University, USA; Department of Computer Science, Vanderbilt University, USA; Big Data Institute, Central South University, China; Department of Computer Science, Vanderbilt University, USA; Department of Computer Science, The University of North Carolina at Chapel Hill, USA; Department of Computer Science, Vanderbilt University, USA; Department of Pathology, Microbiology and Immunology, Vanderbilt University Medical Center, USA; Department of Pathology, Microbiology and Immunology, Vanderbilt University Medical Center, USA; Department of Pathology, Microbiology and Immunology, Vanderbilt University Medical Center, USA; Department of Computer Science, Vanderbilt University, Nashville, TN, USA",IEEE Transactions on Biomedical Engineering,"30 Aug 2023","2023","70","9","2636","2644","Comprehensive semantic segmentation on renal pathological images is challenging due to the heterogeneous scales of the objects. For example, on a whole slide image (WSI), the cross-sectional areas of glomeruli can be 64 times larger than that of the peritubular capillaries, making it impractical to segment both objects on the same patch, at the same scale. To handle this scaling issue, prior studies have typically trained multiple segmentation networks in order to match the optimal pixel resolution of heterogeneous tissue types. This multi-network solution is resource-intensive and fails to model the spatial relationship between tissue types. In this article, we propose the Omni-Seg network, a scale-aware dynamic neural network that achieves multi-object (six tissue types) and multi-scale (5× to 40× scale) pathological image segmentation via a single neural network. The contribution of this article is three-fold: (1) a novel scale-aware controller is proposed to generalize the dynamic neural network from single-scale to multi-scale; (2) semi-supervised consistency regularization of pseudo-labels is introduced to model the inter-scale correlation of unannotated tissue types into a single end-to-end learning paradigm; and (3) superior scale-aware generalization is evidenced by directly applying a model trained on human kidney images to mouse kidney images, without retraining. By learning from 150,000 human pathological image patches from six tissue types at three different resolutions, our approach achieved superior segmentation performance according to human visual assessment and evaluation of image-omics (i.e., spatial transcriptomics).","1558-2531","","10.1109/TBME.2023.3260739","NIH(grant numbers:R01DK135597(Huo)); NIH; National Institute of Diabetes and Digestive and Kidney Diseases(grant numbers:DK56942(ABF)); NIH NIDDK(grant numbers:DK56942); NIH(grant numbers:R01DK135597); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10079171","Renal pathology;image segmentation;multi-label;multi-scale;semi-supervised learning","Image segmentation;Pathology;Neural networks;Task analysis;Head;Kidney;Image coding","Humans;Animals;Mice;Kidney;Neural Networks, Computer;Image Processing, Computer-Assisted","7","","51","IEEE","23 Mar 2023","","","IEEE","IEEE Journals"
"A Multi-Modal, Discriminative and Spatially Invariant CNN for RGB-D Object Labeling","U. Asif; M. Bennamoun; F. A. Sohel","IBM Research, Melbourne, Vic, Australia; University of Western Australia, Crawley, WA, Australia; Murdoch University, Murdoch, WA, Australia",IEEE Transactions on Pattern Analysis and Machine Intelligence,"3 Aug 2018","2018","40","9","2051","2065","While deep convolutional neural networks have shown a remarkable success in image classification, the problems of inter-class similarities, intra-class variances, the effective combination of multi-modal data, and the spatial variability in images of objects remain to be major challenges. To address these problems, this paper proposes a novel framework to learn a discriminative and spatially invariant classification model for object and indoor scene recognition using multi-modal RGB-D imagery. This is achieved through three postulates: 1) spatial invariance-this is achieved by combining a spatial transformer network with a deep convolutional neural network to learn features which are invariant to spatial translations, rotations, and scale changes, 2) high discriminative capability-this is achieved by introducing Fisher encoding within the CNN architecture to learn features which have small inter-class similarities and large intra-class compactness, and 3) multi-modal hierarchical fusion-this is achieved through the regularization of semantic segmentation to a multi-modal CNN architecture, where class probabilities are estimated at different hierarchical levels (i.e., imageand pixel-levels), and fused into a Conditional Random Field (CRF)-based inference hypothesis, the optimization of which produces consistent class labels in RGB-D images. Extensive experimental evaluations on RGB-D object and scene datasets, and live video streams (acquired from Kinect) show that our framework produces superior object and scene classification results compared to the state-of-the-art methods.","1939-3539","","10.1109/TPAMI.2017.2747134","Australian Research Council(grant numbers:DP150100294,DE120102960); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8022892","RGB-D object recognition;3D scene labeling;semantic segmentation","Three-dimensional displays;Labeling;Solid modeling;Proposals;Semantics;Image reconstruction;Computational modeling","","41","","45","IEEE","30 Aug 2017","","","IEEE","IEEE Journals"
"GrNT: Gate-Regularized Network Training for Improving Multi-Scale Fusion in Medical Image Segmentation","Y. Zhang; P. Gu; Y. Zhang; C. Wang; D. Z. Chen","Nanjing University of Science and Technology, Nanjing, Jiangsu, China; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA; Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA",2023 IEEE 20th International Symposium on Biomedical Imaging (ISBI),"1 Sep 2023","2023","","","1","5","Multi-scale fusion is a key for semantic segmentation of medical images. Recent deep learning methods added network complexity to achieve better multi-scale fusion results. However, given the already very expressive architectures (e.g., U-Net), an interesting question is whether additional complexity is necessary for achieving more robust multi-scale fusion performance. In this paper, we proposed a new method for improving the multi-scale fusion performance of a medical image segmentation model. We create a set of binary gates at fusing locations that allow us to control forward and backward flows in training. A gate on-off schedule is imposed so that high-scale (level) features could drive the generation of segmentation, while low-scale features serve as complimentary for reconstructing shape details. Our method is effective, easy to implement, and occurs no extra cost when deploying the trained model. Experiments show that our gate-regularized network training (GrNT) improves widely adopted models (e.g., U-Net, Attention U-Net, and DenseVoxNet) on three segmentation datasets (2017 ISIC Skin Lesion segmentation (2D), MM-WHS CT (3D), and 2016 HVSMR (3D)).","1945-8452","978-1-6654-7358-3","10.1109/ISBI53787.2023.10230431","National Natural Science Foundation of China; Natural Science Foundation of Jiangsu Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10230431","","Training;Image segmentation;Solid modeling;Three-dimensional displays;Shape;Semantic segmentation;Logic gates","","2","","24","IEEE","1 Sep 2023","","","IEEE","IEEE Conferences"
"Robust Prototypical Few-Shot Organ Segmentation With Regularized Neural-ODEs","P. Pandey; M. Chasmai; T. Sur; B. Lall","Department of Electrical Engineering and the Department of Computer Science, IIT Delhi, New Delhi, India; Department of Electrical Engineering and the Department of Computer Science, IIT Delhi, New Delhi, India; Chennai Mathematical Institute, Chennai, India; Department of Electrical Engineering and the Department of Computer Science, IIT Delhi, New Delhi, India",IEEE Transactions on Medical Imaging,"31 Aug 2023","2023","42","9","2490","2501","Despite the tremendous progress made by deep learning models in image semantic segmentation, they typically require large annotated examples, and increasing attention is being diverted to problem settings like Few-Shot Learning (FSL) where only a small amount of annotation is needed for generalisation to novel classes. This is especially seen in medical domains where dense pixel-level annotations are expensive to obtain. In this paper, we propose Regularized Prototypical Neural Ordinary Differential Equation (R-PNODE), a method that leverages intrinsic properties of Neural-ODEs, assisted and enhanced by additional cluster and consistency losses to perform Few-Shot Segmentation (FSS) of organs. R-PNODE constrains support and query features from the same classes to lie closer in the representation space thereby improving the performance over the existing Convolutional Neural Network (CNN) based FSS methods. We further demonstrate that while many existing Deep CNN-based methods tend to be extremely vulnerable to adversarial attacks, R-PNODE exhibits increased adversarial robustness for a wide array of these attacks. We experiment with three publicly available multi-organ segmentation datasets in both in-domain and cross-domain FSS settings to demonstrate the efficacy of our method. In addition, we perform experiments with seven commonly used adversarial attacks in various settings to demonstrate R-PNODE’s robustness. R-PNODE outperforms the baselines for FSS by significant margins and also shows superior performance for a wide array of attacks varying in intensity and design.","1558-254X","","10.1109/TMI.2023.3258069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10073652","Few-shot segmentation;Neural-ODEs;adversarial robustness;medical image segmentation","Image segmentation;Robustness;Perturbation methods;Medical diagnostic imaging;Training;Feature extraction;Annotations","Image Processing, Computer-Assisted;Neural Networks, Computer;Semantics","5","","61","IEEE","16 Mar 2023","","","IEEE","IEEE Journals"
"Delineation of agricultural fields using Psi-Net from high-resolution remote sensing images","J. Long; M. Li; M. Cha; X. Wang; H. Huang","The Academy of Digital China (Fujian), Fuzhou University, Fuzhou, China; The Academy of Digital China (Fujian), Fuzhou University, Fuzhou, China; The Academy of Digital China (Fujian), Fuzhou University, Fuzhou, China; The Academy of Digital China (Fujian), Fuzhou University, Fuzhou, China; Fujian Geologic Surveying and Mapping Institute, Fuzhou, China",2022 10th International Conference on Agro-geoinformatics (Agro-Geoinformatics),"23 Aug 2022","2022","","","1","5","Boundary information of agricultural fields is essential to many agricultural applications, particularly at the field level. This paper investigates the use of high-resolution remote sensing images to delineate the boundaries of agricultural fields. We consider the delineation task a multi-task semantic segmentation problem and use a recent deep neural network, i.e., Psi-Net, to do the semantic segmentation. The structure of a Psi-Net consists of an encoder and three decoders. The decoders learn three parallel tasks, corresponding to a primary task (i.e., mask prediction) and two additional tasks (i.e., contour detection and distance map estimation). The additional tasks are used to regularize the mask prediction to produce a refined mask with smooth boundaries. We conducted experiments on a GF1 PMS satellite image (2m) acquired in the 21st regiment of the 2nd agricultural division of Xinjiang. To evaluate the effectiveness of the proposed method, we compared it with existing single task semantic segmentation using UNet. Our results show that the proposed method using Psi-Net performed better than the existing method from the perspective of geometric and attribute accuracies. We conclude that the proposed Psi-Net method has a high potential for extracting field boundaries from high-resolution remote sensing images.","","978-1-6654-7078-0","10.1109/Agro-Geoinformatics55649.2022.9858952","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9858952","agricultural fields delineation;high-resolution remote sensing images;multi-task semantic segmentation;Psi-Net","Learning systems;Image segmentation;Satellites;Image resolution;Semantics;Neural networks;Multitasking","","","","11","IEEE","23 Aug 2022","","","IEEE","IEEE Conferences"
"R2I: A Deep Fault Diagnosis Semantic Segmentation System Based on Knowledge Distillation in Photovoltaic Panels","X. Lei; K. Ma; J. Zhao","Department of Electrical and Electronic Engineering, University of Liverpool, Liverpool, United Kingdom; Department of Electrical and Electronic Engineering, University of Liverpool, Liverpool, United Kingdom; Department of Computer Science, Xi'an Jiaotong-liverpool University, Suzhou, China","2023 3rd International Conference on Energy, Power and Electrical Engineering (EPEE)","25 Dec 2023","2023","","","1062","1066","With the growing adoption of photovoltaic power systems, ensuring the reliable and efficient operation of photovoltaic panels is critical. However, defects such as cracks, dirt, and failures are common during long-term use. Manual inspection is subjective and resource intensive. Recent computer vision and machine learning techniques present new opportunities for automated diagnosis. This paper reviews photovoltaic panel defect detection using deep learning. Two main approaches exist: visible light and infrared imaging. Earlier works employed object detection with lower precision. Newer methods use semantic segmentation for pixel-level accuracy. However, most focus on single modalities and datasets. Transfer learning across diverse data could improve generalization. Few works estimate defect areas, needed for automated analysis. This paper proposes a dual-modality semantic segmentation approach with knowledge transfer learning. It shares representations across visible and infrared datasets via distillation. A lightweight network reduces parameters and computations for deployment. Soft targets provide latent features transferable to new data. An algorithm estimates defect area proportions to assess hazard levels. The multi-modal transferable learning system aims to advance automated, accurate photovoltaic panel defect diagnosis. Key innovations include tackling insufficient data via shared knowledge, reducing model complexity, improving generalization, and pioneering defect severity assessment. This can facilitate intelligent photovoltaic inspection to ensure system health, safety and longevity.","","979-8-3503-1818-0","10.1109/EPEE59859.2023.10351967","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10351967","component;Power System Fault Diagnosis;Power System Security;Smart Grid;Digital Power System","Photovoltaic systems;Training;Technological innovation;Semantic segmentation;Transfer learning;Object detection;Manuals","","","","13","IEEE","25 Dec 2023","","","IEEE","IEEE Conferences"
"Algorithm for Crack Segmentation of Airport Runway Pavement under Complex Background based on Encoder and Decoder","H. Li; P. Jing; R. Huang; Z. Gui","CS Department, Civil Aviation University of China, China; CS Department, Civil Aviation University of China, China; CS Department, Civil Aviation University of China, China; Shanghai Guimu Robot Co. Ltd., China",2021 IEEE International Conference on Robotics and Biomimetics (ROBIO),"28 Mar 2022","2021","","","1706","1711","Automatic detection and segmentation of airport pavement cracks has always been the focus of attention of the field management department. Due to the different background, shape, color and size of cracks, traditional methods cannot accurately extract crack information from the road surface image with complex background. Therefore, this paper proposes a deep learning-based image detection method for cracks pixel-level segmentation. The proposed network is an encoder-decoder network structure. The encoder uses VGG19 as the backbone network to extract crack features. A spatial pyramid pooling module is introduced between the encoder and decoder to obtain the global crack information. The hole convolution and multi-loss supervision function are introduced to obtain a larger receptive field and improve the segmentation effect of small cracks. This model can be used for efficient multi-scale feature extraction, aggregation and resolution reconstruction, thereby greatly enhancing the fracture segmentation capability of the network. Compared with traditional image processing and other deep learning-based crack segmentation methods, this algorithm has higher accuracy and generalization ability on complex background airport pavements, making the automatic detection and monitoring of airport pavement more efficient.","","978-1-6654-0535-5","10.1109/ROBIO54168.2021.9739462","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9739462","","Image segmentation;Convolution;Shape;Roads;Feature extraction;Airports;Real-time systems","","2","","14","IEEE","28 Mar 2022","","","IEEE","IEEE Conferences"
"GraphRegNet: Deep Graph Regularisation Networks on Sparse Keypoints for Dense Registration of 3D Lung CTs","L. Hansen; M. P. Heinrich","Institute of Medical Informatics, Universitát zu Lübeck, Lübeck, Germany; Institute of Medical Informatics, Universitát zu Lübeck, Lübeck, Germany",IEEE Transactions on Medical Imaging,"31 Aug 2021","2021","40","9","2246","2257","In the last two years learning-based methods have started to show encouraging results in different supervised and unsupervised medical image registration tasks. Deep neural networks enable (near) real time applications through fast inference times and have tremendous potential for increased registration accuracies by task-specific learning. However, estimation of large 3D deformations, for example present in inhale to exhale lung CT or interpatient abdominal MRI registration, is still a major challenge for the widely adopted U-Net-like network architectures. Even when using multi-level strategies, current state-of-the-art DL registration results do not yet reach the high accuracy of conventional frameworks. To overcome the problem of large deformations for deep learning approaches, in this work, we present GraphRegNet, a sparse keypoint-based geometric network for dense deformable medical image registration. Similar to the successful 2D optical flow estimation of FlowNet or PWC-Net we leverage discrete dense displacement maps to facilitate the registration process. In order to cope with enormously increasing memory requirements when working with displacement maps in 3D medical volumes and to obtain a well-regularised and accurate deformation field we 1) formulate the registration task as the prediction of displacement vectors on a sparse irregular grid of distinctive keypoints and 2) introduce our efficient GraphRegNet for displacement regularisation, a combination of convolutional and graph neural network layers in a unified architecture. In our experiments on exhale to inhale lung CT registration we demonstrate substantial improvements (TRE below 1.4 mm) over other deep learning methods. Our code is publicly available at https://github.com/multimodallearning/graphregnet.","1558-254X","","10.1109/TMI.2021.3073986","German Research Foundation (DFG)(grant numbers:320997906 (HE 7364/2-1)); German Federal Ministry for Economic Affairs and Energy as part of the AI Space for Intelligence Healthcare Systems (KI SIGS) Consortium(grant numbers:01MK20012B); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9406964","Deformable registration;graph learning;thoracic CT","Lung;Computed tomography;Three-dimensional displays;Biomedical imaging;Feature extraction;Strain;Estimation","Image Processing, Computer-Assisted;Lung;Magnetic Resonance Imaging;Neural Networks, Computer;Tomography, X-Ray Computed","42","","60","IEEE","19 Apr 2021","","","IEEE","IEEE Journals"
